smiles_aromatic,smiles_kekulized,nb_atoms,sw_filter_chembl,sw_filter_zinc,nb_unknown_gcf_chembl,nb_unknown_ecfp_chembl,nb_unknown_gcf_chembl_zinc,nb_unknown_ecfp_chembl_zinc
S=C(S)OCCc1ccccn1,S=C(S)OCCC1=CC=CC=N1,12,1.0,1.0,0,0,0,0
CN(C(=S)S)c1ccccc1,CN(C(=S)S)C1=CC=CC=C1,11,1.0,1.0,0,0,0,0
S=C(S)NN=Cc1cnccn1,S=C(S)NN=CC1=CN=CC=N1,12,1.0,1.0,0,0,0,0
O=C(O)c1cn[nH]c1,O=C(O)C1=CNN=C1,8,1.0,1.0,0,0,0,0
S=C(S)NCCN1CCCCC1,S=C(S)NCCN1CCCCC1,12,1.0,1.0,0,0,0,0
CC(=O)CC(=O)OC(C)(C)C,CC(=O)CC(=O)OC(C)(C)C,11,1.0,1.0,0,0,0,0
CC(C)OC(C)C,CC(C)OC(C)C,7,1.0,1.0,0,0,0,0
CC(=O)NCCO,CC(=O)NCCO,7,1.0,1.0,0,0,0,0
S=C(S)N1CCCCC1,S=C(S)N1CCCCC1,9,1.0,1.0,0,0,0,0
CN=C1SCCN1C,CN=C1SCCN1C,8,1.0,1.0,0,0,0,0
CCCCCCCCNC,CCCCCCCCNC,10,1.0,1.0,0,0,0,0
Cc1cccnc1CO,CC1=CC=CN=C1CO,9,1.0,1.0,0,0,0,0
CCC1(C)C(=O)NC(=O)C1O,CCC1(C)C(=O)NC(=O)C1O,11,1.0,1.0,0,0,0,0
NNc1nnc(-c2ccsc2)s1,NNC1=NN=C(C2=CSC=C2)S1,12,1.0,1.0,0,0,0,0
